,Chapter number in book,Chapter name,POV,Location,Storyline,Storyline2,In show yet?
A Storm of Swords,19,Tyrion III,Tyrion,KL,KL,,1
A Storm of Swords,20,Catelyn III,Catelyn,Riverlands,Stark,,1
A Storm of Swords,21,Jaime III,Jaime,Riverlands,Brienne,,1
A Storm of Swords,22,Arya IV,Arya,Riverlands,Arya,,1
A Storm of Swords,23,Daenerys II,Daenerys,Essos,Daenerys,,1
A Storm of Swords,24,Bran II,Bran,North,Bran,,1
A Storm of Swords,25,Davos III,Davos,Dragonstone,Stannis,,1
A Storm of Swords,26,Jon III,Jon,Wall,wildling,,1
A Storm of Swords,27,Daenerys III,Daenerys,Essos,Daenerys,,1
A Storm of Swords,28,Sansa III,Sansa,KL,KL,,1
A Storm of Swords,29,Arya V,Arya,Riverlands,Arya,,1
A Storm of Swords,30,Jon IV,Jon,Wall,wildling,,1
A Storm of Swords,31,Jaime IV,Jaime,Riverlands,Brienne,,1
A Storm of Swords,32,Tyrion IV,Tyrion,KL,KL,,1
A Storm of Swords,33,Samwell II,Samwell,Beyond,night,,1
A Storm of Swords,34,Arya VI,Arya,Riverlands,Arya,,1
A Storm of Swords,35,Catelyn IV,Catelyn,Riverlands,Stark,,1
A Storm of Swords,36,Davos IV,Davos,Dragonstone,Stannis,,1
A Storm of Swords,37,Jaime V,Jaime,Riverlands,Brienne,,1
A Storm of Swords,38,Tyrion V,Tyrion,KL,KL,,1
A Storm of Swords,39,Arya VII,Arya,Riverlands,Arya,,1
A Storm of Swords,40,Bran III,Bran,North,Bran,,1
A Storm of Swords,41,Jon V,Jon,Wall,wildling,,1
A Storm of Swords,42,Daenerys IV,Daenerys,Essos,Daenerys,,1
A Storm of Swords,43,Arya VIII,Arya,Riverlands,Arya,,1
A Storm of Swords,44,Jaime VI,Jaime,Riverlands,Brienne,,1
A Storm of Swords,45,Catelyn V,Catelyn,Riverlands,Stark,,1
A Storm of Swords,46,Samwell III,Samwell,Beyond,Sam,,1
A Storm of Swords,47,Arya IX,Arya,Riverlands,Arya,,1
A Storm of Swords,48,Jon VI,Jon,Wall,night,,1
A Storm of Swords,49,Catelyn VI,Catelyn,Riverlands,Stark,,1
A Storm of Swords,50,Arya X,Arya,Riverlands,Arya,Stark,1
A Storm of Swords,51,Catelyn VII,Catelyn,Riverlands,Stark,,1
A Storm of Swords,52,Arya XI,Arya,Riverlands,Arya,Stark,1
A Storm of Swords,53,Tyrion VI,Tyrion,KL,KL,,1
A Storm of Swords,54,Davos V,Davos,Dragonstone,Stannis,,1
A Storm of Swords,55,Jon VII,Jon,Wall,night,,1
A Storm of Swords,56,Bran IV,Bran,Wall,Bran,Sam,1
A Storm of Swords,57,Daenerys V,Daenerys,Essos,Daenerys,,1
A Storm of Swords,58,Tyrion VII,Tyrion,KL,KL,,1
A Storm of Swords,59,Sansa IV,Sansa,KL,KL,,1
A Storm of Swords,60,Tyrion VIII,Tyrion,KL,KL,,1
A Storm of Swords,61,Sansa V,Sansa,KL,KL,Sansa,1
A Storm of Swords,62,Jaime VII,Jaime,KL,KL,,1
A Storm of Swords,63,Davos VI,Davos,Dragonstone,Stannis,,1
A Storm of Swords,64,Jon VIII,Jon,Wall,night,,1
A Storm of Swords,65,Arya XII,Arya,Riverlands,Arya,,1
A Storm of Swords,66,Tyrion IX,Tyrion,KL,KL,,1
A Storm of Swords,67,Jaime VIII,Jaime,KL,KL,,1
A Storm of Swords,68,Sansa VI,Sansa,Vale,Sansa,,1
A Storm of Swords,69,Jon IX,Jon,Wall,night,,1
A Storm of Swords,70,Tyrion X,Tyrion,KL,KL,,1
A Storm of Swords,71,Daenerys VI,Daenerys,Essos,Daenerys,,1
A Storm of Swords,72,Jaime IX,Jaime,KL,KL,,1
A Storm of Swords,73,Jon X,Jon,Wall,night,Stannis,1
A Storm of Swords,74,Arya XIII,Arya,Riverlands,Arya,,1
